gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000227066	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.5005	3.0187
ENSG00000225986	3.444	3.0187	3.0187	3.8099	3.0187	3.0187	3.0187	3.0187
ENSG00000162543	3.618	3.0187	3.7954	3.5816	3.9416	3.0187	4.4156	4.3122
ENSG00000162545	8.9678	10.9051	8.6819	9.4583	10.3066	7.8804	8.3577	7.6551
ENSG00000090432	9.6223	9.8887	9.8657	9.6943	8.4379	8.3424	8.3697	8.3787
ENSG00000183114	3.444	3.0187	3.0187	3.0187	3.437	3.0187	3.0187	3.0187
ENSG00000158825	3.7502	6.3521	3.0187	5.2568	4.8966	5.812	4.2607	3.5614
ENSG00000158828	8.9263	9.0629	7.934	8.7304	6.7855	7.3275	7.4851	6.8656
ENSG00000117242	7.5069	7.4157	7.6865	8.0135	8.3646	8.7031	8.5839	8.5977
ENSG00000244038	12.9364	13.3976	12.8644	13.1704	11.6945	11.1353	12.2794	11.992
ENSG00000117245	7.2615	8.131	7.7033	7.1871	5.0954	6.4017	7.3622	4.4087
ENSG00000189410	5.8308	8.7583	7.976	6.9589	3.9416	3.8051	5.1031	5.6353
ENSG00000233069	3.0187	3.0187	3.0187	3.0187	3.0187	3.4764	3.0187	3.0187
ENSG00000127483	12.5675	11.9594	12.3395	12.3067	13.163	13.7055	12.8341	12.7084
ENSG00000075151	11.5881	11.1192	11.6749	11.3971	13.1013	13.1085	12.7628	12.8184
ENSG00000251914	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.697	3.0187
ENSG00000233072	3.0187	3.4618	3.0187	3.0187	3.0187	3.6634	3.697	3.0187
ENSG00000236073	3.444	3.0187	3.7954	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000235112	3.0187	3.4618	3.0187	3.0187	3.0187	3.6634	3.9695	3.0187
ENSG00000117298	14.474	14.6551	14.5317	14.5236	13.571	12.1903	13.7028	14.6076
ENSG00000236936	3.444	3.0187	3.0187	3.0187	4.1749	4.35	4.9296	4.2057
ENSG00000231105	4.3236	3.895	3.7954	4.9206	4.6152	4.026	4.1733	4.3122
ENSG00000236216	3.444	3.643	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000227001	4.3831	4.8355	4.8242	5.6771	5.2676	5.125	5.4871	5.3256
ENSG00000187952	5.7936	5.1016	3.7954	4.9206	3.0187	3.0187	3.8457	3.0187
ENSG00000186543	3.0187	3.0187	3.0187	3.8099	3.0187	3.0187	3.0187	3.0187
ENSG00000142794	8.2415	8.7888	7.876	8.7388	8.837	9.2609	8.8294	7.9879
ENSG00000162551	3.7502	6.7561	3.0187	4.3578	3.7383	3.8051	3.8457	4.2057
ENSG00000076864	3.618	4.1654	3.0187	3.8099	3.6083	3.0187	4.341	3.7818
ENSG00000090686	12.0965	11.7387	11.8116	11.7416	12.8893	13.1271	12.2839	12.5479
ENSG00000231978	3.0187	3.0187	3.0187	3.0187	3.437	3.4764	3.5005	3.0187
ENSG00000187942	6.6333	6.6708	6.3285	6.9443	5.966	5.7903	6.2743	5.8875
ENSG00000142798	15.9683	15.265	15.4597	15.855	13.717	12.3636	14.225	14.6388
ENSG00000232037	4.0427	3.895	3.0187	3.8099	4.2412	4.5397	4.672	4.086
ENSG00000283234	3.8604	3.643	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000219073	3.618	3.4618	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000142789	3.444	3.4618	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000228397	3.618	3.643	3.7954	4.4572	4.1749	3.9232	4.1733	4.3122
ENSG00000218510	7.5513	7.7925	7.3664	8.5056	7.8063	8.3927	7.4924	7.1284
ENSG00000070831	13.4232	13.5917	13.5421	13.386	13.8756	14.1063	13.7645	14.0309
ENSG00000230068	3.444	3.0187	3.0187	3.9819	3.9416	4.1179	4.4156	3.0187
ENSG00000271428	3.7502	3.7804	3.0187	3.0187	3.437	5.2287	4.2607	4.086
ENSG00000271840	3.444	3.0187	3.0187	3.0187	3.9416	4.7514	4.1733	3.9481
ENSG00000162552	3.618	4.9175	3.0187	3.5816	3.437	4.2785	4.672	3.9481
ENSG00000234397	4.4928	4.6026	3.0187	3.5816	3.6083	3.0187	3.0187	3.0187
ENSG00000184677	10.113	9.4186	10.3668	10.0357	10.7986	10.6849	11.453	10.8025
ENSG00000237200	4.2606	3.0187	4.522	4.1245	4.5207	4.702	4.8822	4.7954
ENSG00000276835	3.0187	3.0187	3.0187	3.0187	3.0187	3.4764	3.0187	3.0187
ENSG00000173372	3.7502	3.0187	4.8242	3.5816	5.883	3.8051	6.6364	5.1881
ENSG00000159189	3.0187	3.4618	4.3343	3.5816	6.32	3.8051	6.2217	5.5642
ENSG00000173369	3.0187	3.0187	5.1717	3.5816	7.1145	4.2785	7.1921	6.2194
ENSG00000133216	11.5784	11.7623	12.0014	11.715	10.0224	10.0922	11.6271	11.2815
ENSG00000225952	3.0187	3.0187	3.0187	3.0187	3.6083	3.0187	4.2607	3.5614
ENSG00000264014	3.0187	3.0187	3.7954	3.0187	3.0187	3.4764	3.0187	3.0187
ENSG00000227868	3.7502	3.0187	3.0187	3.5816	3.437	3.8051	3.0187	3.0187
ENSG00000004487	12.0729	11.8077	11.8804	11.8476	12.1668	11.8156	12.0205	12.3463
ENSG00000240553	3.444	3.0187	3.0187	3.5816	3.437	4.417	3.8457	3.7818
ENSG00000266802	3.0187	3.0187	3.0187	3.0187	3.437	3.0187	3.697	3.0187
ENSG00000169641	11.9875	11.7933	12.4937	11.7702	13.0666	12.9175	12.9233	13.5763
ENSG00000229010	3.0187	3.0187	3.0187	3.0187	3.0187	3.9232	4.4156	3.0187
ENSG00000206935	3.0187	3.0187	3.7954	3.0187	3.0187	3.4764	3.697	3.0187
ENSG00000252578	3.0187	3.0187	3.0187	3.8099	3.0187	3.8051	3.697	3.5614
ENSG00000179546	8.0767	9.9235	7.2569	7.0709	6.2947	3.6634	7.6186	5.2356
ENSG00000215381	3.444	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
