gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000103490	200.8024	114.8416	89.0375	149.9674	15.0971	4.937	9.1237	15.0869
ENSG00000261359	1.4191	0	0	0	0	0	0	0
ENSG00000169896	0	0	2.4064	0	6.1761	6.5827	10.9484	2.3211
ENSG00000140678	30.5106	76.3042	74.599	178.7111	5.4899	13.9882	92.1491	8.1237
ENSG00000260757	0	1.5415	0	1.2497	0	0	2.7371	0
ENSG00000176723	3.5477	1.5415	4.8128	8.7481	18.5283	11.5197	3.6495	2.3211
ENSG00000261474	7.0955	15.415	14.4385	11.2476	9.6073	18.1024	24.6339	5.8026
ENSG00000260267	37.6061	49.3279	72.1926	69.9848	36.3704	32.0905	53.8297	31.3342
ENSG00000140691	403.7334	445.4929	264.7061	357.4222	36.3704	27.9764	31.9328	48.7422
ENSG00000280132	31.9297	34.6837	24.0642	29.9935	6.8623	10.6968	13.6855	47.5816
ENSG00000140682	1598.6139	2238.2552	1143.0492	1764.6161	273.1208	145.6417	573.8788	446.8031
ENSG00000140675	0	0	0	0	0	0	1.8247	2.3211
ENSG00000140688	542.805	405.414	519.7866	656.1073	202.4388	185.9606	246.3391	203.0923
ENSG00000260625	0.7095	1.5415	0	0	3.4312	0	1.8247	0
ENSG00000261741	0.7095	0	0	0	0	0	0	2.3211
ENSG00000261614	43.992	34.6837	9.6257	6.2486	8.921	13.1654	12.7731	17.4079
ENSG00000260010	1.4191	0	0	0	2.7449	0	0.9124	1.1605
ENSG00000131797	48.9589	0.7707	48.1284	72.4842	76.8581	91.3346	58.3915	58.0264
ENSG00000276867	0	0	0	0	0	0.8228	0	0
ENSG00000197302	396.6379	366.1058	288.7703	358.672	1098.6593	1181.5902	625.8838	560.5348
ENSG00000259810	3.5477	0.7707	4.8128	2.4995	9.6073	3.2913	11.8608	1.1605
ENSG00000260722	0	0	0	0	0.6862	0	0.9124	0
ENSG00000261457	5.6764	8.4782	9.6257	9.9978	3.4312	5.7598	0	4.6421
ENSG00000259874	0	0	0	0	0	1.6457	0.9124	0
ENSG00000185947	597.4403	490.1964	464.4389	416.1595	1256.4929	739.7281	812.0066	826.2956
ENSG00000259950	0.7095	0	0	1.2497	0	0	3.6495	1.1605
ENSG00000260628	51.0875	42.3912	52.9412	27.494	5.4899	11.5197	18.2473	20.8895
ENSG00000230267	18.4483	2.3122	0	1.2497	11.666	12.3425	7.2989	5.8026
ENSG00000205456	0	0	0	0	0	0	1.8247	0
ENSG00000260866	0	0	0	0	0.6862	0	0	0
ENSG00000260311	0	0	0	0	1.3725	0	0	0
ENSG00000183632	0	0	0	0	0	0	0.9124	0
ENSG00000260644	15.6101	3.8537	2.4064	1.2497	9.6073	17.2795	4.5618	5.8026
ENSG00000278950	0	0	0	0	2.0587	0	0	0
ENSG00000279780	0	0.7707	0	0	1.3725	0	0	0
ENSG00000279795	0.7095	4.6245	0	0	1.3725	0.8228	0	0
ENSG00000260158	0.7095	0	0	0	0	0	0	0
ENSG00000260047	2.8382	8.4782	2.4064	2.4995	0	0	0	1.1605
ENSG00000214617	7.805	17.7272	2.4064	1.2497	0	0	0	1.1605
ENSG00000277304	104.3037	80.1579	55.3476	42.4908	5.4899	18.9252	27.371	31.3342
